"","LOC NO","LOC STREET","LOC CITY","LOC STATE","LOC ZIP","DBA","FEIN/SSN","LIC TEXT2 (LIC 1)","CHG 1 DESC (LIC 1)","CHG 1 LONG DESC (LIC 1)","CYCLE CODE (LIC 2)","CYCLE DESC (LIC 2)","LIC TEXT1 (LIC 2)","LIC TEXT2 (LIC 2)","LIC TEXT4 (LIC 2)","CYCLE DESC (LIC 3)","LIC TEXT2 (LIC 3)","CHG 1 DESC (LIC 3)","CHG 1 LONG DESC (LIC 3)","CYCLE CODE (LIC 4)","CYCLE DESC (LIC 4)","LIC TEXT1 (LIC 4)","LIC TEXT2 (LIC 4)","LIC TEXT4 (LIC 4)","CYCLE CODE (LIC 5)","CYCLE DESC (LIC 5)","LIC TEXT1 (LIC 5)","LIC TEXT2 (LIC 5)","QTY STAT CD (LIC 5)","address...30","lon","lat","address...33"
"306",3501,"CHANNAHON","JOLIET","IL",60436,"MI RANCHO MEXICAN RESTAURANT","81-1388329","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL","CLASS E","CLASS E RESTAURANT OR HOTEL","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE","EMPL","3501 CHANNAHON JOLIET IL 60436",-88.1640139,41.479687,"3501 channahon rd, joliet, il 60436, usa"
"307",2424,"JEFFERSON","JOLIET","IL",60435,"ECOATM (INSIDE WALMART)","26-3879952","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2424 JEFFERSON JOLIET IL 60435",-88.1423491,41.519002,"2424 w jefferson st, joliet, il 60435, usa"
"308",1007,"ESSINGTON","JOLIET","IL",60435,"LIQUOR TOWN","46-3681402","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS C PACKAGE","CLASS C","CLASS C PACKAGE","BL","BUSINESS LICENSE","BUSINESS LICENSE","TOBACCO DEALER",NA,NA,NA,NA,NA,NA,"1007 ESSINGTON JOLIET IL 60435",-88.1616326,41.5402988,"1007 essington rd, joliet, il 60435, usa"
"309",0,"OUT OF AREA",NA,NA,NA,"ALL AMERICAN SIGN COMPANY",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"310",935,"JEFFERSON","JOLIET","IL",60435,"DK AUTO SERVICE","26-3039797","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","PUBLIC GARAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"935 JEFFERSON JOLIET IL 60435",-88.1059686,41.5234374,"935 w jefferson st, joliet, il 60435, usa"
"311",18,"LARKIN","JOLIET","IL",60436,"TOBACCO","46-3987304","TOBACCO DEALER","TOBACCO","TOBACCO DEALER LICENSE FEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18 LARKIN JOLIET IL 60436",-88.1237201,41.5212596,"18 s larkin ave, joliet, il 60436, usa"
"312",201,"JEFFERSON","JOLIET","IL",60432,"BILLIE LIMACHER BICENTENNIAL PARK","23-7367846","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS P BICENTENNIAL PARK",NA,"201 JEFFERSON JOLIET IL 60432",-88.0873327,41.5263339,"201 w jefferson st, joliet, il 60435, usa"
"313",426,"CHICAGO","JOLIET","IL",60436,"D & C MUFFLERS AND BRAKES","81-2083765","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"426 CHICAGO JOLIET IL 60436",-88.0808013,41.5161323,"426 s chicago st, joliet, il 60436, usa"
"314",617,"COLLINS","JOLIET","IL",60432,"LAS DELICIAS DE MICHOACAN 6","45-5180485","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"617 COLLINS JOLIET IL 60432",-88.0729945,41.5358481,"617 collins st, joliet, il 60432, usa"
"315",1000,"GARDNER","JOLIET","IL",60433,"GARDNER FOOD MART","74-3230671","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","TOBACCO DEALER","TOBACCO","TOBACCO DEALER LICENSE FEE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000 GARDNER JOLIET IL 60433",-88.0780662,41.5053886,"1000 gardner st, joliet, il 60433, usa"
"316",1103,"PLAINFIELD","JOLIET","IL",60435,"BEL-AIR MOTEL","47-2176927","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1103 PLAINFIELD JOLIET IL 60435",-88.1076471,41.5426646,"1103 plainfield rd, joliet, il 60435, usa"
"317",0,"OUT OF AREA",NA,NA,NA,"FORD'S HEATING & AIR CONDITIONING",NA,"HVAC","HVAC LICEN","HVAC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"318",1213,"BROADWAY","JOLIET","IL",60435,"GILLO'S TIRES","81-2551710","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","PUBLIC GARAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1213 BROADWAY JOLIET IL 60435",-88.0866031,41.5461996,"1213 n broadway st, joliet, il 60435, usa"
"319",2700,"MCDONOUGH","JOLIET","IL",60436,"APL LOGISTICS WAREHOUSE MANAGEMENT","59-2042072","WHOLESALE PURVEYOR 1ST CLASS","WHLSLE 1ST","WHOLESALE PURVEYOR 1ST CLASS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2700 MCDONOUGH JOLIET IL 60436",-88.147575,41.512823,"2700 mcdonough st, joliet, il 60436, usa"
"320",4000,"ROCK CREEK","JOLIET","IL",60431,"DSC LOGISTICS","36-3620628","WHOLESALE PURVEYOR 1ST CLASS","WHLSLE 1ST","WHOLESALE PURVEYOR 1ST CLASS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000 ROCK CREEK JOLIET IL 60431",-88.178079,41.489582,"4000 rock creek blvd, joliet, il 60431, usa"
"321",0,"OUT OF AREA",NA,NA,NA,"AMERICAN SIGNS LLC",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"322",2100,"JEFFERSON","JOLIET","IL",60435,"GOLDEN CORRAL 2470","14-1884067","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"2100 JEFFERSON JOLIET IL 60435",-88.1318077,41.5218485,"2100 w jefferson st, joliet, il 60435, usa"
"323",453,"CASS","JOLIET","IL",60432,"MIMI'S LIQUOR","81-2736055","CLASS C PACKAGE","CLASS C","CLASS C PACKAGE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS C PACKAGE","CLASS C","CLASS C PACKAGE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","TOBACCO DEALER",NA,"453 CASS JOLIET IL 60432",-88.0708564,41.5284369,"453 e cass st, joliet, il 60432, usa"
"324",0,"OUT OF AREA",NA,NA,NA,"TORRES CLIMATE CONTROL INC",NA,"HVAC","HVAC LICEN","HVAC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
